127.0.0.1 - - [21/Jun/2022:01:46:14 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/ HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/CSS/practice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/150px-Jamia_Millia_Islamia_Logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/talat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:15 +0530] "GET /SummerProject/IMG/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:16 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:16 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:16 +0530] "GET /SummerProject/IMG/jamia.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:33 +0530] "POST /SummerProject/LoginServ HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:46:33 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:50:23 +0530] "POST /SummerProject/LoginServ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:50:24 +0530] "GET /SummerProject/profile.jsp HTTP/1.1" 500 4818
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:50:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:48 +0530] "POST /SummerProject/LoginServ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:50 +0530] "GET /SummerProject/profile.jsp HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:50 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:54 +0530] "GET /SummerProject/View_stu.jsp HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:54 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:51:57 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:53:55 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:53:55 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:54:01 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:54:01 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:20 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:20 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:20 +0530] "GET /SummerProject/IMG/stu_photo/1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:20 +0530] "GET /SummerProject/img/logo/rupee.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:26 +0530] "GET /SummerProject/update.jsp HTTP/1.1" 200 11145
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:26 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:29 +0530] "GET /SummerProject/View_stu.jsp HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:29 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:33 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:33 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:33 +0530] "GET /SummerProject/IMG/stu_photo/1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:33 +0530] "GET /SummerProject/img/logo/rupee.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:35 +0530] "GET /SummerProject/View_stu.jsp HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:35 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:40 +0530] "POST /SummerProject/StudentServ HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [21/Jun/2022:01:55:40 +0530] "GET /SummerProject/bootstrap-3.3.6-dist/font-awesome-4.7.0/css/font-awesome-min.css HTTP/1.1" 404 846
